clean_text,category
I went for a hike and enjoyed the stunning views.,1
I received an unexpected compliment that made my day.,1
I had a fun and memorable vacation with my friends.,1
I received good news about a job opportunity.,1
I spent the day exploring a new city and discovering hidden gems.,1
I received a promotion at my favorite hobby.,1
I spent a relaxing day pampering myself with a spa treatment.,1
I received a warm and genuine hug from a loved one.,1
I learned a new skill that I had been wanting to master.,1
I had a heartwarming conversation with an old friend.,1
I received a surprise visit from a family member I hadn't seen in a while.,1
I attended a concert of my favorite band and had an amazing time.,1
I received recognition for my hard work from my supervisor.,1
I won a competition and felt incredibly proud of my achievement.,1
"I spent a joyful day at an amusement park, going on thrilling rides.",1
I received a handwritten letter expressing appreciation and love.,1
I had a delicious homemade meal cooked by a loved one.,1
"I spent a beautiful day in nature, enjoying the fresh air and scenery.",1
I received a scholarship or grant for my studies.,1
I had a heartwarming reunion with a long-lost friend or relative.,1
I received positive feedback on a creative project I worked on.,1
I had a great workout session that left me feeling energized.,1
I received a surprise party to celebrate a milestone in my life.,1
I had an engaging and inspiring conversation with a mentor.,1
I spent the day exploring a museum and immersing myself in art and culture.,1
I received a compliment on my appearance that boosted my confidence.,1
"I enjoyed a relaxing day at a spa, receiving rejuvenating treatments.",1
I received a surprise gift that perfectly matched my interests.,1
I spent quality time with my pet and felt a deep connection with them.,1
"I received a pay raise or bonus at work, recognizing my efforts.",1
I spent the day volunteering for a cause I'm passionate about.,1
I received positive feedback on a blog post or article I wrote.,1
I had a heartwarming encounter with a stranger who showed kindness.,1
I received a scholarship or grant for my creative endeavors.,1
I spent the day exploring a new hobby and discovering a new passion.,1
I received a surprise visit or call from a dear friend or family member.,1
"I had a delightful shopping experience, finding everything I needed.",1
I received a heartfelt message of appreciation from someone I helped.,1
"I spent a joyful day at a theme park, enjoying the rides and attractions.",1
"I received a surprise package in the mail, containing something I had wanted for a long time.",1
I had a successful job interview and received an offer for my dream job.,1
"I spent quality time with my loved ones, creating beautiful memories.",1
I received a compliment on my work from a respected colleague or mentor.,1
I had a wonderful and inspiring conversation with a stranger I met.,1
I received a surprise reward or recognition for my efforts at work.,1
"I spent a day at a retreat or workshop, learning and growing personally.",1
I received a surprise invitation to an event or gathering that I was excited about.,1
I had a successful performance or presentation that received a standing ovation.,1
"I spent a day pampering myself with self-care activities, feeling refreshed and rejuvenated.",1
??  ,1
??,1
??,1
??,1
??,1
??,1
??,-1
??,-1
??,-1
??,-1
??,-1
??,-1
??,-1
??,-1
??,-1
??,-1
??,-1
??,-1
??,0
